Govt Area,Registered,Population,% Registered
Alpine ,620,13962,4.4406
Ararat ,760,13190,5.7619
Ballarat ,5720,115176,4.9663
Banyule ,5220,138456,3.7702
Bass Coast ,2460,37170,6.6182
Baw Baw ,2880,54975,5.2387
Bayside ,3040,109958,2.7647
Benalla ,930,15725,5.9141
Boroondara ,5170,189394,2.7298
Brimbank ,14970,220362,6.7934
Buloke ,460,7040,6.5341
Campaspe ,2560,42065,6.0858
Cardinia ,4740,106777,4.4392
Casey ,18580,339406,5.4743
Central Goldfields ,1130,14737,7.6678
Colac-Otway ,1200,23766,5.0492
Corangamite ,970,18225,5.3224
Darebin ,7380,166736,4.4262
East Gippsland ,2980,51113,5.8302
Frankston ,7490,152175,4.922
Gannawarra ,840,11963,7.0217
Glen Eira ,5510,160078,3.4421
Glenelg ,1570,22171,7.0813
Golden Plains ,1050,24683,4.2539
Greater Bendigo ,5610,125328,4.4763
Greater Dandenong ,11240,172432,6.5185
Greater Geelong ,12810,264730,4.8389
Greater Shepparton ,3930,72436,5.4255
Hepburn ,890,17351,5.1294
Hindmarsh ,480,6500,7.3846
Hobsons Bay ,5010,100693,4.9755
Horsham ,1160,22285,5.2053
Hume ,13950,223822,6.2326
Indigo ,840,18220,4.6103
Kingston  ,7510,171597,4.3765
Knox ,8850,174779,5.0635
Latrobe  ,5300,83060,6.3809
Loddon ,510,8454,6.0326
Macedon Ranges ,1940,52276,3.7111
Manningham ,6290,131806,4.7722
Mansfield ,310,9728,3.1867
Maribyrnong ,3680,93321,3.9434
Maroondah ,4950,125239,3.9524
Melbourne ,2470,153622,1.6078
Melton ,8590,153680,5.5895
Mildura ,3540,62256,5.6862
Mitchell ,2500,46412,5.3865
Moira ,2100,33284,6.3093
Monash ,10150,207049,4.9022
Moonee Valley ,5520,132296,4.1725
Moorabool ,1750,36114,4.8458
Moreland ,8650,184086,4.6989
Mornington Peninsula ,7720,175798,4.3914
Mount Alexander ,950,21287,4.4628
Moyne ,740,18700,3.9572
Murrindindi ,930,15553,5.9796
Nillumbik ,1820,69223,2.6292
Northern Grampians ,930,12967,7.1721
Port Phillip ,2590,114366,2.2647
Pyrenees ,510,8243,6.1871
Queenscliffe ,150,3236,4.6354
South Gippsland ,1820,32595,5.5837
Southern Grampians ,1040,18093,5.7481
Stonnington ,2710,117905,2.2985
Strathbogie ,710,11652,6.0934
Surf Coast ,1170,33334,3.5099
Swan Hill ,1270,23341,5.4411
Towong ,360,6898,5.2189
Unincorporated Vic,30,1004,2.988
Wangaratta ,1520,32096,4.7358
Warrnambool ,1700,38174,4.4533
Wellington ,2910,48718,5.9732
West Wimmera ,260,4423,5.8784
Whitehorse ,7520,183953,4.088
Whittlesea ,12360,223959,5.5189
Wodonga ,2250,44832,5.0187
Wyndham ,12060,246162,4.8992
Yarra ,2520,98232,2.5654
Yarra Ranges ,6620,169595,3.9034
Yarriambiack ,540,7559,7.1438
