,LGA Name,People who are members of a sports group,People who are members of a sports group (rank)
0,Alpine (S),32.7%,32.0
1,Ararat (RC),38.8%,10.0
2,Ballarat (C),27.8%,53.0
3,Banyule (C),26.2%,59.0
4,Bass Coast (S),32.9%,29.0
5,Baw Baw (S),33.9%,26.0
6,Bayside (C),35.0%,20.0
7,Benalla (RC),32.5%,34.0
8,Boroondara (C),32.9%,30.0
9,Brimbank (C),20.1%,77.0
10,Buloke (S),50.2%,1.0
11,Campaspe (S),34.4%,23.0
12,Cardinia (S),27.1%,54.0
13,Casey (C),21.9%,74.0
14,Central Goldfields (S),31.5%,38.0
15,Colac-Otway (S),38.1%,14.0
16,Corangamite (S),42.2%,6.0
17,Darebin (C),21.1%,75.0
18,East Gippsland (S),29.0%,48.0
19,Frankston (C),28.6%,50.0
20,Gannawarra (S),42.6%,5.0
21,Glen Eira (C),25.1%,64.0
22,Glenelg (S),36.1%,16.0
23,Golden Plains (S),31.1%,41.0
24,Greater Bendigo (C),26.5%,56.0
25,Greater Dandenong (C),16.0%,78.0
26,Greater Geelong (C),25.8%,61.0
27,Greater Shepparton (C),29.7%,44.0
28,Hepburn (S),30.2%,42.0
29,Hindmarsh (S),38.3%,12.0
30,Hobsons Bay (C),24.6%,66.0
31,Horsham (RC),41.0%,8.0
32,Hume (C),16.0%,79.0
33,Indigo (S),32.1%,36.0
34,Kingston (C),29.7%,45.0
35,Knox (C),29.0%,47.0
36,Latrobe (C),32.3%,35.0
37,Loddon (S),35.9%,17.0
38,Macedon Ranges (S),25.9%,60.0
39,Manningham (C),26.5%,57.0
40,Mansfield (S),38.3%,13.0
41,Maribyrnong (C),24.4%,67.0
42,Maroondah (C),32.6%,33.0
43,Melbourne (C),22.5%,72.0
44,Melton (C),23.2%,70.0
45,Mildura (RC),31.5%,37.0
46,Mitchell (S),29.6%,46.0
47,Moira (S),34.2%,24.0
48,Monash (C),23.4%,69.0
49,Moonee Valley (C),27.9%,52.0
50,Moorabool (S),32.7%,31.0
51,Moreland (C),25.3%,63.0
52,Mornington Peninsula (S),28.6%,49.0
53,Mount Alexander (S),28.1%,51.0
54,Moyne (S),39.6%,9.0
55,Murrindindi (S),29.8%,43.0
56,Nillumbik (S),31.2%,40.0
57,Northern Grampians (S),35.4%,18.0
58,Port Phillip (C),24.7%,65.0
59,Pyrenees (S),33.4%,27.0
60,Queenscliffe (B),43.0%,3.0
61,South Gippsland (S),33.4%,28.0
62,Southern Grampians (S),46.4%,2.0
63,Stonnington (C),26.3%,58.0
64,Strathbogie (S),34.9%,21.0
65,Surf Coast (S),34.8%,22.0
66,Swan Hill (RC),31.3%,39.0
67,Towong (S),38.6%,11.0
68,Wangaratta (RC),34.2%,25.0
69,Warrnambool (C),36.9%,15.0
70,Wellington (S),25.5%,62.0
71,West Wimmera (S),42.7%,4.0
72,Whitehorse (C),23.5%,68.0
73,Whittlesea (C),20.4%,76.0
74,Wodonga (RC),35.1%,19.0
75,Wyndham (C),22.7%,71.0
76,Yarra (C),22.3%,73.0
77,Yarra Ranges (S),26.6%,55.0
78,Yarriambiack (S),41.6%,7.0
79,Victoria,26.5%,
